tau,Sstar,Vstar
0.908,70,30
0.907667,70,30
0.907333,70,30
0.907,70,30
0.906667,70,30
0.906333,70,30
0.906,70,30
0.905667,70,30
0.905333,70,30
0.905,70,30
0.904667,70,30
0.904333,70,30
0.904,70,30
0.903667,70,30
0.903333,70,30
0.903,70,30
0.902667,70,30
0.902333,70,30
0.902,70,30
0.901667,70,30
0.901333,70,30
0.901,70,30
0.900667,70,30
0.900333,70,30
0.9,70,30
0.899667,70,30
0.899333,70,30
0.899,70,30
0.898667,70,30
0.898333,70,30
0.898,70,30
0.897667,70,30
0.897333,70,30
0.897,70,30
0.896667,70,30
0.896333,70,30
0.896,70,30
0.895667,70,30
0.895333,70,30
0.895,70,30
0.894667,70,30
0.894333,70,30
0.894,70,30
0.893667,70,30
0.893333,70,30
0.893,70,30
0.892667,70,30
0.892333,70,30
0.892,70,30
0.891667,70,30
0.891333,70,30
0.891,70,30
0.890667,70,30
0.890333,70,30
0.89,70,30
0.889667,70,30
0.889333,70,30
0.889,70,30
0.888667,70,30
0.888333,70,30
0.888,70,30
0.887667,70,30
0.887333,70,30
0.887,70,30
0.886667,70,30
0.886333,70,30
0.886,70,30
0.885667,70,30
0.885333,70,30
0.885,70,30
0.884667,70,30
0.884333,70,30
0.884,70,30
0.883667,70,30
0.883333,70,30
0.883,70,30
0.882667,70,30
0.882333,70,30
0.882,70,30
0.881667,70,30
0.881333,70,30
0.881,70,30
0.880667,70,30
0.880333,70,30
0.88,70,30
0.879667,70,30
0.879333,70,30
0.879,70,30
0.878667,70,30
0.878333,70,30
0.878,70,30
0.877667,70,30
0.877333,70,30
0.877,70,30
0.876667,70,30
0.876333,70,30
0.876,70,30
0.875667,70,30
0.875333,70,30
0.875,70,30
0.874667,70,30
0.874333,70,30
0.874,70,30
0.873667,70,30
0.873333,70,30
0.873,70,30
0.872667,70,30
0.872333,70,30
0.872,70,30
0.871667,70,30
0.871333,70,30
0.871,70,30
0.870667,70,30
0.870333,70,30
0.87,70,30
0.869667,70,30
0.869333,70,30
0.869,70,30
0.868667,70,30
0.868333,70,30
0.868,70,30
0.867667,70,30
0.867333,70,30
0.867,70,30
0.866667,70,30
0.866333,70,30
0.866,70,30
0.865667,70,30
0.865333,70,30
0.865,70,30
0.864667,70,30
0.864333,70,30
0.864,70,30
0.863667,70,30
0.863333,70,30
0.863,70,30
0.862667,70,30
0.862333,70,30
0.862,70,30
0.861667,70.5,29.5
0.861333,70.5,29.5
0.861,70.5,29.5
0.860667,70.5,29.5
0.860333,70.5,29.5
0.86,70.5,29.5
0.859667,70.5,29.5
0.859333,70.5,29.5
0.859,70.5,29.5
0.858667,70.5,29.5
0.858333,70.5,29.5
0.858,70.5,29.5
0.857667,70.5,29.5
0.857333,70.5,29.5
0.857,70.5,29.5
0.856667,70.5,29.5
0.856333,70.5,29.5
0.856,70.5,29.5
0.855667,70.5,29.5
0.855333,70.5,29.5
0.855,70.5,29.5
0.854667,70.5,29.5
0.854333,70.5,29.5
0.854,70.5,29.5
