S,tau,V
0,1,0
0.75,1,7.09634e-49
1.5,1,1.00312e-45
2.25,1,4.81022e-43
3,1,1.15326e-40
3.75,1,1.64776e-38
4.5,1,1.55428e-36
5.25,1,1.03574e-34
6,1,5.11787e-33
6.75,1,1.94495e-31
7.5,1,5.85013e-30
8.25,1,1.42544e-28
9,1,2.86834e-27
9.75,1,4.84511e-26
10.5,1,6.96752e-25
11.25,1,8.63563e-24
12,1,9.32552e-23
12.75,1,8.86e-22
13.5,1,7.47095e-21
14.25,1,5.63571e-20
15,1,3.83089e-19
15.75,1,2.3622e-18
16.5,1,1.3294e-17
17.25,1,6.86718e-17
18,1,3.27307e-16
18.75,1,1.44644e-15
19.5,1,5.95358e-15
20.25,1,2.292e-14
21,1,8.28543e-14
21.75,1,2.82271e-13
22.5,1,9.09392e-13
23.25,1,2.77942e-12
24,1,8.08288e-12
24.75,1,2.24283e-11
25.5,1,5.95354e-11
26.25,1,1.5155e-10
27,1,3.7079e-10
27.75,1,8.73803e-10
28.5,1,1.98737e-09
29.25,1,4.37054e-09
30,1,9.3098e-09
30.75,1,1.924e-08
31.5,1,3.86366e-08
32.25,1,7.54998e-08
33,1,1.43759e-07
33.75,1,2.67064e-07
34.5,1,4.84629e-07
35.25,1,8.60009e-07
36,1,1.49402e-06
36.75,1,2.54331e-06
37.5,1,4.2466e-06
38.25,1,6.96089e-06
39,1,1.12107e-05
39.75,1,1.77535e-05
40.5,1,2.76659e-05
41.25,1,4.24539e-05
42,1,6.41935e-05
42.75,1,9.57057e-05
43.5,1,0.000140772
44.25,1,0.000204396
45,1,0.000293113
45.75,1,0.000415361
46.5,1,0.000581908
47.25,1,0.000806339
48,1,0.00110562
48.75,1,0.0015007
49.5,1,0.00201723
50.25,1,0.00268629
51,1,0.0035452
51.75,1,0.00463836
52.5,1,0.00601819
53.25,1,0.007746
54,1,0.00989302
54.75,1,0.0125412
55.5,1,0.0157845
56.25,1,0.0197291
57,1,0.0244953
57.75,1,0.0302172
58.5,1,0.0370443
59.25,1,0.0451416
60,1,0.0546904
60.75,1,0.0658885
61.5,1,0.0789505
62.25,1,0.094108
63,1,0.111609
63.75,1,0.131719
64.5,1,0.154718
65.25,1,0.180903
66,1,0.210585
66.75,1,0.244089
67.5,1,0.281752
68.25,1,0.323924
69,1,0.370964
69.75,1,0.42324
70.5,1,0.481124
71.25,1,0.544999
72,1,0.615245
72.75,1,0.692248
73.5,1,0.776392
74.25,1,0.868058
75,1,0.967623
75.75,1,1.07546
76.5,1,1.19193
77.25,1,1.31739
78,1,1.45217
78.75,1,1.59662
79.5,1,1.75103
80.25,1,1.91572
81,1,2.09096
81.75,1,2.27701
82.5,1,2.47411
83.25,1,2.68249
84,1,2.90235
84.75,1,3.13386
85.5,1,3.37719
86.25,1,3.63246
87,1,3.89979
87.75,1,4.17926
88.5,1,4.47095
89.25,1,4.77489
90,1,5.0911
90.75,1,5.41959
91.5,1,5.76033
92.25,1,6.11327
93,1,6.47836
93.75,1,6.85552
94.5,1,7.24464
95.25,1,7.6456
96,1,8.05828
96.75,1,8.48252
97.5,1,8.91816
98.25,1,9.36502
99,1,9.82292
99.75,1,10.2917
100.5,1,10.771
101.25,1,11.2608
102,1,11.7607
102.75,1,12.2706
103.5,1,12.7902
104.25,1,13.3192
105,1,13.8575
105.75,1,14.4047
106.5,1,14.9606
107.25,1,15.5249
108,1,16.0974
108.75,1,16.6779
109.5,1,17.266
110.25,1,17.8615
111,1,18.4642
111.75,1,19.0738
112.5,1,19.69
113.25,1,20.3126
114,1,20.9414
114.75,1,21.5761
115.5,1,22.2165
116.25,1,22.8624
117,1,23.5135
117.75,1,24.1696
118.5,1,24.8305
119.25,1,25.4959
120,1,26.1658
120.75,1,26.8398
121.5,1,27.5179
122.25,1,28.1997
123,1,28.8852
123.75,1,29.5741
124.5,1,30.2663
125.25,1,30.9616
126,1,31.6599
126.75,1,32.361
127.5,1,33.0647
128.25,1,33.771
129,1,34.4796
129.75,1,35.1905
130.5,1,35.9035
131.25,1,36.6186
132,1,37.3355
132.75,1,38.0542
133.5,1,38.7745
134.25,1,39.4964
135,1,40.2198
135.75,1,40.9446
136.5,1,41.6706
137.25,1,42.3979
138,1,43.1263
138.75,1,43.8557
139.5,1,44.586
140.25,1,45.3173
141,1,46.0494
141.75,1,46.7822
142.5,1,47.5158
143.25,1,48.2499
144,1,48.9847
144.75,1,49.7199
145.5,1,50.4556
146.25,1,51.1918
147,1,51.9283
147.75,1,52.6651
148.5,1,53.4022
149.25,1,54.1395
150,1,54.8771
0,0.995,0
0.75,0.995,5.15948e-49
1.5,0.995,7.34444e-46
2.25,0.995,3.54665e-43
3,0.995,8.56341e-41
3.75,0.995,1.23222e-38
4.5,0.995,1.17059e-36
5.25,0.995,7.85622e-35
6,0.995,3.90963e-33
6.75,0.995,1.49636e-31
7.5,0.995,4.53275e-30
8.25,0.995,1.11225e-28
9,0.995,2.25381e-27
9.75,0.995,3.83356e-26
10.5,0.995,5.55084e-25
11.25,0.995,6.92664e-24
12,0.995,7.53027e-23
12.75,0.995,7.20173e-22
13.5,0.995,6.1122e-21
14.25,0.995,4.64021e-20
15,0.995,3.17396e-19
15.75,0.995,1.96912e-18
16.5,0.995,1.11483e-17
17.25,0.995,5.79242e-17
18,0.995,2.77654e-16
18.75,0.995,1.23382e-15
19.5,0.995,5.1058e-15
20.25,0.995,1.97592e-14
21,0.995,7.1791e-14
21.75,0.995,2.45785e-13
22.5,0.995,7.95622e-13
23.25,0.995,2.44293e-12
24,0.995,7.13607e-12
24.75,0.995,1.98867e-11
25.5,0.995,5.3009e-11
26.25,0.995,1.35481e-10
27,0.995,3.32766e-10
27.75,0.995,7.87145e-10
28.5,0.995,1.79678e-09
29.25,0.995,3.96524e-09
30,0.995,8.47501e-09
30.75,0.995,1.7572e-08
31.5,0.995,3.5398e-08
32.25,0.995,6.93812e-08
33,0.995,1.32495e-07
33.75,0.995,2.46836e-07
34.5,0.995,4.49142e-07
35.25,0.995,7.99133e-07
36,0.995,1.39179e-06
36.75,0.995,2.37508e-06
37.5,0.995,3.97507e-06
38.25,0.995,6.53067e-06
39,0.995,1.05409e-05
39.75,0.995,1.67284e-05
40.5,0.995,2.61218e-05
41.25,0.995,4.01637e-05
42,0.995,6.08466e-05
42.75,0.995,9.08832e-05
43.5,0.995,0.000133917
44.25,0.995,0.000194777
45,0.995,0.000279783
45.75,0.995,0.000397108
46.5,0.995,0.000557197
47.25,0.995,0.000773254
48,0.995,0.00106178
48.75,0.995,0.00144322
49.5,0.995,0.00194259
50.25,0.995,0.00259026
51,0.995,0.00342277
51.75,0.995,0.00448364
52.5,0.995,0.00582429
53.25,0.995,0.00750497
54,0.995,0.00959572
54.75,0.995,0.0121773
55.5,0.995,0.0153421
56.25,0.995,0.0191953
57,0.995,0.0238554
57.75,0.995,0.0294551
58.5,0.995,0.0361424
59.25,0.995,0.0440807
60,0.995,0.0534499
60.75,0.995,0.0644461
61.5,0.995,0.0772827
62.25,0.995,0.0921896
63,0.995,0.109414
63.75,0.995,0.129219
64.5,0.995,0.151886
65.25,0.995,0.177709
66,0.995,0.206998
66.75,0.995,0.24008
67.5,0.995,0.27729
68.25,0.995,0.318977
69,0.995,0.365502
69.75,0.995,0.417232
70.5,0.995,0.474541
71.25,0.995,0.53781
72,0.995,0.607424
72.75,0.995,0.683768
73.5,0.995,0.767227
74.25,0.995,0.858184
75,0.995,0.957019
75.75,0.995,1.06411
76.5,0.995,1.17981
77.25,0.995,1.30448
78,0.995,1.43847
78.75,0.995,1.58211
79.5,0.995,1.73571
80.25,0.995,1.89958
81,0.995,2.074
81.75,0.995,2.25923
82.5,0.995,2.45551
83.25,0.995,2.66308
84,0.995,2.88214
84.75,0.995,3.11286
85.5,0.995,3.3554
86.25,0.995,3.60991
87,0.995,3.87649
87.75,0.995,4.15523
88.5,0.995,4.44621
89.25,0.995,4.74947
90,0.995,5.06502
90.75,0.995,5.39287
91.5,0.995,5.733
92.25,0.995,6.08537
93,0.995,6.44991
93.75,0.995,6.82655
94.5,0.995,7.21517
95.25,0.995,7.61568
96,0.995,8.02793
96.75,0.995,8.45178
97.5,0.995,8.88705
98.25,0.995,9.33359
99,0.995,9.79118
99.75,0.995,10.2596
100.5,0.995,10.7388
101.25,0.995,11.2283
102,0.995,11.7281
102.75,0.995,12.2378
103.5,0.995,12.7573
104.25,0.995,13.2862
105,0.995,13.8244
105.75,0.995,14.3715
106.5,0.995,14.9274
107.25,0.995,15.4917
108,0.995,16.0643
108.75,0.995,16.6447
109.5,0.995,17.2329
110.25,0.995,17.8285
111,0.995,18.4312
111.75,0.995,19.0409
112.5,0.995,19.6573
113.25,0.995,20.28
114,0.995,20.9089
114.75,0.995,21.5438
115.5,0.995,22.1844
116.25,0.995,22.8304
117,0.995,23.4816
117.75,0.995,24.1379
118.5,0.995,24.799
119.25,0.995,25.4647
120,0.995,26.1347
120.75,0.995,26.809
121.5,0.995,27.4872
122.25,0.995,28.1693
123,0.995,28.855
123.75,0.995,29.5441
124.5,0.995,30.2365
125.25,0.995,30.932
126,0.995,31.6305
126.75,0.995,32.3318
127.5,0.995,33.0358
128.25,0.995,33.7422
129,0.995,34.4511
129.75,0.995,35.1622
130.5,0.995,35.8754
131.25,0.995,36.5906
132,0.995,37.3077
132.75,0.995,38.0266
133.5,0.995,38.7471
134.25,0.995,39.4693
135,0.995,40.1928
135.75,0.995,40.9178
136.5,0.995,41.644
137.25,0.995,42.3715
138,0.995,43.1
138.75,0.995,43.8296
139.5,0.995,44.5601
140.25,0.995,45.2916
141,0.995,46.0238
141.75,0.995,46.7568
142.5,0.995,47.4905
143.25,0.995,48.2248
144,0.995,48.9597
144.75,0.995,49.6951
145.5,0.995,50.431
146.25,0.995,51.1673
147,0.995,51.9039
147.75,0.995,52.6409
148.5,0.995,53.3781
149.25,0.995,54.1156
150,0.995,54.8533
0,0.99,0
0.75,0.99,3.74286e-49
1.5,0.99,5.36541e-46
2.25,0.99,2.60932e-43
3,0.99,6.34502e-41
3.75,0.99,9.19524e-39
4.5,0.99,8.79789e-37
5.25,0.99,5.94684e-35
6,0.99,2.98063e-33
6.75,0.99,1.14895e-31
7.5,0.99,3.50521e-30
8.25,0.99,8.66208e-29
9,0.99,1.76763e-27
9.75,0.99,3.02762e-26
10.5,0.99,4.41424e-25
11.25,0.99,5.54604e-24
12,0.99,6.0701e-23
12.75,0.99,5.84391e-22
13.5,0.99,4.99228e-21
14.25,0.99,3.81437e-20
15,0.99,2.62552e-19
15.75,0.99,1.63892e-18
16.5,0.99,9.33475e-18
17.25,0.99,4.8787e-17
18,0.99,2.35198e-16
18.75,0.99,1.05099e-15
19.5,0.99,4.37283e-15
20.25,0.99,1.70119e-14
21,0.99,6.21255e-14
21.75,0.99,2.13749e-13
22.5,0.99,6.95247e-13
23.25,0.99,2.14466e-12
24,0.99,6.29303e-12
24.75,0.99,1.76137e-11
25.5,0.99,4.71478e-11
26.25,0.99,1.20991e-10
27,0.99,2.98343e-10
27.75,0.99,7.08398e-10
28.5,0.99,1.62295e-09
29.25,0.99,3.59428e-09
30,0.99,7.70835e-09
30.75,0.99,1.6035e-08
31.5,0.99,3.24044e-08
32.25,0.99,6.37082e-08
33,0.99,1.22021e-07
33.75,0.99,2.27971e-07
34.5,0.99,4.15959e-07
35.25,0.99,7.42055e-07
36,0.99,1.29569e-06
36.75,0.99,2.21656e-06
37.5,0.99,3.7186e-06
38.25,0.99,6.12338e-06
39,0.99,9.9055e-06
39.75,0.99,1.57536e-05
40.5,0.99,2.46506e-05
41.25,0.99,3.79775e-05
42,0.99,5.76455e-05
42.75,0.99,8.62622e-05
43.5,0.99,0.000127336
44.25,0.99,0.000185527
45,0.99,0.000266944
45.75,0.99,0.000379498
46.5,0.99,0.000533322
47.25,0.99,0.00074124
48,0.99,0.00101931
48.75,0.99,0.00138744
49.5,0.99,0.00187006
50.25,0.99,0.00249684
51,0.99,0.00330352
51.75,0.99,0.00433275
52.5,0.99,0.00563497
53.25,0.99,0.00726937
54,0.99,0.0093048
54.75,0.99,0.0118208
55.5,0.99,0.0149084
56.25,0.99,0.0186714
57,0.99,0.0232267
57.75,0.99,0.0287057
58.5,0.99,0.0352548
59.25,0.99,0.0430358
60,0.99,0.052227
60.75,0.99,0.0630232
61.5,0.99,0.0756361
62.25,0.99,0.0902944
63,0.99,0.107244
63.75,0.99,0.126747
64.5,0.99,0.149082
65.25,0.99,0.174545
66,0.99,0.203444
66.75,0.99,0.236104
67.5,0.99,0.272862
68.25,0.99,0.314066
69,0.99,0.360077
69.75,0.99,0.411261
70.5,0.99,0.467995
71.25,0.99,0.53066
72,0.99,0.599642
72.75,0.99,0.675326
73.5,0.99,0.758099
74.25,0.99,0.848347
75,0.99,0.946451
75.75,0.99,1.05279
76.5,0.99,1.16772
77.25,0.99,1.29161
78,0.99,1.4248
78.75,0.99,1.56763
79.5,0.99,1.72042
80.25,0.99,1.88347
81,0.99,2.05706
81.75,0.99,2.24146
82.5,0.99,2.43693
83.25,0.99,2.64368
84,0.99,2.86193
84.75,0.99,3.09185
85.5,0.99,3.33361
86.25,0.99,3.58735
87,0.99,3.85318
87.75,0.99,4.13119
88.5,0.99,4.42146
89.25,0.99,4.72402
90,0.99,5.03891
90.75,0.99,5.36613
91.5,0.99,5.70565
92.25,0.99,6.05743
93,0.99,6.42142
93.75,0.99,6.79753
94.5,0.99,7.18567
95.25,0.99,7.58572
96,0.99,7.99754
96.75,0.99,8.42099
97.5,0.99,8.8559
98.25,0.99,9.3021
99,0.99,9.75939
99.75,0.99,10.2276
100.5,0.99,10.7065
101.25,0.99,11.1958
102,0.99,11.6954
102.75,0.99,12.2049
103.5,0.99,12.7243
104.25,0.99,13.2531
105,0.99,13.7912
105.75,0.99,14.3383
106.5,0.99,14.8941
107.25,0.99,15.4585
108,0.99,16.031
108.75,0.99,16.6115
109.5,0.99,17.1997
110.25,0.99,17.7954
111,0.99,18.3982
111.75,0.99,19.008
112.5,0.99,19.6245
113.25,0.99,20.2474
114,0.99,20.8764
114.75,0.99,21.5114
115.5,0.99,22.1522
116.25,0.99,22.7983
117,0.99,23.4498
117.75,0.99,24.1062
118.5,0.99,24.7675
119.25,0.99,25.4334
120,0.99,26.1036
120.75,0.99,26.7781
121.5,0.99,27.4566
122.25,0.99,28.1388
123,0.99,28.8247
123.75,0.99,29.514
124.5,0.99,30.2067
125.25,0.99,30.9024
126,0.99,31.6011
126.75,0.99,32.3026
127.5,0.99,33.0068
128.25,0.99,33.7135
129,0.99,34.4225
129.75,0.99,35.1338
130.5,0.99,35.8472
131.25,0.99,36.5626
132,0.99,37.28
132.75,0.99,37.999
133.5,0.99,38.7198
134.25,0.99,39.4421
135,0.99,40.1658
135.75,0.99,40.891
136.5,0.99,41.6174
137.25,0.99,42.345
138,0.99,43.0737
138.75,0.99,43.8035
139.5,0.99,44.5342
140.25,0.99,45.2658
141,0.99,45.9982
141.75,0.99,46.7314
142.5,0.99,47.4652
143.25,0.99,48.1997
144,0.99,48.9347
144.75,0.99,49.6703
145.5,0.99,50.4063
146.25,0.99,51.1428
147,0.99,51.8796
147.75,0.99,52.6167
148.5,0.99,53.3541
149.25,0.99,54.0917
150,0.99,54.8295
0,0.985,0
0.75,0.985,2.70905e-49
1.5,0.985,3.9109e-46
2.25,0.985,1.91548e-43
3,0.985,4.69113e-41
3.75,0.985,6.84716e-39
4.5,0.985,6.59838e-37
5.25,0.985,4.49221e-35
6,0.985,2.26775e-33
6.75,0.985,8.80437e-32
7.5,0.985,2.70527e-30
8.25,0.985,6.73293e-29
9,0.985,1.38369e-27
9.75,0.985,2.38667e-26
10.5,0.985,3.50396e-25
11.25,0.985,4.43267e-24
12,0.985,4.88449e-23
12.75,0.985,4.73397e-22
13.5,0.985,4.07072e-21
14.25,0.985,3.13036e-20
15,0.985,2.16837e-19
15.75,0.985,1.36195e-18
16.5,0.985,7.80434e-18
17.25,0.985,4.10301e-17
18,0.985,1.98945e-16
18.75,0.985,8.9399e-16
19.5,0.985,3.73994e-15
20.25,0.985,1.4627e-14
21,0.985,5.36917e-14
21.75,0.985,1.85655e-13
22.5,0.985,6.06794e-13
23.25,0.985,1.88059e-12
24,0.985,5.54321e-12
24.75,0.985,1.55831e-11
25.5,0.985,4.18896e-11
26.25,0.985,1.07938e-10
27,0.985,2.67212e-10
27.75,0.985,6.36905e-10
28.5,0.985,1.46455e-09
29.25,0.985,3.25504e-09
30,0.985,7.00483e-09
30.75,0.985,1.46199e-08
31.5,0.985,2.96394e-08
32.25,0.985,5.84523e-08
33,0.985,1.12289e-07
33.75,0.985,2.10392e-07
34.5,0.985,3.84949e-07
35.25,0.985,6.88574e-07
36,0.985,1.20542e-06
36.75,0.985,2.06727e-06
37.5,0.985,3.4765e-06
38.25,0.985,5.73802e-06
39,0.985,9.30294e-06
39.75,0.985,1.48273e-05
40.5,0.985,2.32497e-05
41.25,0.985,3.58914e-05
42,0.985,5.45852e-05
42.75,0.985,8.18363e-05
43.5,0.985,0.000121022
44.25,0.985,0.000176637
45,0.985,0.000254582
45.75,0.985,0.000362517
46.5,0.985,0.000510263
47.25,0.985,0.000710273
48,0.985,0.000978169
48.75,0.985,0.00133334
49.5,0.985,0.00179961
50.25,0.985,0.00240597
51,0.985,0.00318739
51.75,0.985,0.00418563
52.5,0.985,0.00545017
53.25,0.985,0.00703912
54,0.985,0.00902018
54.75,0.985,0.0114716
55.5,0.985,0.0144832
56.25,0.985,0.0181572
57,0.985,0.0226092
57.75,0.985,0.0279691
58.5,0.985,0.0343814
59.25,0.985,0.0420068
60,0.985,0.0510218
60.75,0.985,0.0616197
61.5,0.985,0.0740108
62.25,0.985,0.0884222
63,0.985,0.105099
63.75,0.985,0.124301
64.5,0.985,0.146307
65.25,0.985,0.171411
66,0.985,0.199921
66.75,0.985,0.232162
67.5,0.985,0.268469
68.25,0.985,0.309191
69,0.985,0.354688
69.75,0.985,0.405328
70.5,0.985,0.461488
71.25,0.985,0.523549
72,0.985,0.591898
72.75,0.985,0.666922
73.5,0.985,0.74901
74.25,0.985,0.838548
75,0.985,0.93592
75.75,0.985,1.0415
76.5,0.985,1.15567
77.25,0.985,1.27877
78,0.985,1.41116
78.75,0.985,1.55318
79.5,0.985,1.70515
80.25,0.985,1.86737
81,0.985,2.04014
81.75,0.985,2.22371
82.5,0.985,2.41836
83.25,0.985,2.62429
84,0.985,2.84172
84.75,0.985,3.07084
85.5,0.985,3.31182
86.25,0.985,3.56478
87,0.985,3.82985
87.75,0.985,4.10713
88.5,0.985,4.39668
89.25,0.985,4.69856
90,0.985,5.01278
90.75,0.985,5.33935
91.5,0.985,5.67826
92.25,0.985,6.02946
93,0.985,6.3929
93.75,0.985,6.76848
94.5,0.985,7.15613
95.25,0.985,7.55571
96,0.985,7.9671
96.75,0.985,8.39015
97.5,0.985,8.8247
98.25,0.985,9.27056
99,0.985,9.72755
99.75,0.985,10.1955
100.5,0.985,10.6741
101.25,0.985,11.1632
102,0.985,11.6626
102.75,0.985,12.172
103.5,0.985,12.6912
104.25,0.985,13.22
105,0.985,13.758
105.75,0.985,14.305
106.5,0.985,14.8609
107.25,0.985,15.4252
108,0.985,15.9977
108.75,0.985,16.5783
109.5,0.985,17.1665
110.25,0.985,17.7623
111,0.985,18.3652
111.75,0.985,18.9751
112.5,0.985,19.5917
113.25,0.985,20.2147
114,0.985,20.8439
114.75,0.985,21.479
115.5,0.985,22.1199
116.25,0.985,22.7663
117,0.985,23.4179
117.75,0.985,24.0745
118.5,0.985,24.736
119.25,0.985,25.4021
120,0.985,26.0725
120.75,0.985,26.7472
121.5,0.985,27.4259
122.25,0.985,28.1083
123,0.985,28.7944
123.75,0.985,29.484
124.5,0.985,30.1768
125.25,0.985,30.8728
126,0.985,31.5717
126.75,0.985,32.2734
127.5,0.985,32.9778
128.25,0.985,33.6847
129,0.985,34.3939
129.75,0.985,35.1054
130.5,0.985,35.8191
131.25,0.985,36.5347
132,0.985,37.2522
132.75,0.985,37.9715
133.5,0.985,38.6924
134.25,0.985,39.4149
135,0.985,40.1388
135.75,0.985,40.8642
136.5,0.985,41.5908
137.25,0.985,42.3186
138,0.985,43.0475
138.75,0.985,43.7774
139.5,0.985,44.5083
140.25,0.985,45.24
141,0.985,45.9726
141.75,0.985,46.7059
142.5,0.985,47.44
143.25,0.985,48.1746
144,0.985,48.9098
144.75,0.985,49.6455
145.5,0.985,50.3817
146.25,0.985,51.1183
147,0.985,51.8552
147.75,0.985,52.5925
148.5,0.985,53.33
149.25,0.985,54.0677
150,0.985,54.8057
0,0.98,0
0.75,0.98,1.95629e-49
1.5,0.98,2.84425e-46
2.25,0.98,1.40301e-43
3,0.98,3.46073e-41
3.75,0.98,5.08767e-39
4.5,0.98,4.93823e-37
5.25,0.98,3.38628e-35
6,0.98,1.72182e-33
6.75,0.98,6.7331e-32
7.5,0.98,2.08373e-30
8.25,0.98,5.22319e-29
9,0.98,1.08107e-27
9.75,0.98,1.87786e-26
10.5,0.98,2.77625e-25
11.25,0.98,3.5364e-24
12,0.98,3.92348e-23
12.75,0.98,3.82818e-22
13.5,0.98,3.31364e-21
14.25,0.98,2.56475e-20
15,0.98,1.78791e-19
15.75,0.98,1.13e-18
16.5,0.98,6.51476e-18
17.25,0.98,3.44546e-17
18,0.98,1.68033e-16
18.75,0.98,7.59358e-16
19.5,0.98,3.19422e-15
20.25,0.98,1.25595e-14
21,0.98,4.63419e-14
21.75,0.98,1.61049e-13
22.5,0.98,5.2894e-13
23.25,0.98,1.64706e-12
24,0.98,4.87706e-12
24.75,0.98,1.37711e-11
25.5,0.98,3.71771e-11
26.25,0.98,9.61916e-11
27,0.98,2.39083e-10
27.75,0.98,5.72059e-10
28.5,0.98,1.32034e-09
29.25,0.98,2.94508e-09
30,0.98,6.35981e-09
30.75,0.98,1.33181e-08
31.5,0.98,2.70876e-08
32.25,0.98,5.35865e-08
33,0.98,1.03251e-07
33.75,0.98,1.94021e-07
34.5,0.98,3.5599e-07
35.25,0.98,6.38497e-07
36,0.98,1.12067e-06
36.75,0.98,1.92677e-06
37.5,0.98,3.2481e-06
38.25,0.98,5.37361e-06
39,0.98,8.73185e-06
39.75,0.98,1.39475e-05
40.5,0.98,2.19163e-05
41.25,0.98,3.39019e-05
42,0.98,5.16608e-05
42.75,0.98,7.7599e-05
43.5,0.98,0.000114967
44.25,0.98,0.000168095
45,0.98,0.000242686
45.75,0.98,0.000346148
46.5,0.98,0.000488
47.25,0.98,0.000680331
48,0.98,0.000938327
48.75,0.98,0.00128087
49.5,0.98,0.0017312
50.25,0.98,0.00231762
51,0.98,0.00307433
51.75,0.98,0.00404222
52.5,0.98,0.00526982
53.25,0.98,0.00681416
54,0.98,0.00874181
54.75,0.98,0.0111298
55.5,0.98,0.0140665
56.25,0.98,0.0176528
57,0.98,0.0220029
57.75,0.98,0.0272449
58.5,0.98,0.0335222
59.25,0.98,0.0409936
60,0.98,0.0498342
60.75,0.98,0.0602356
61.5,0.98,0.0724066
62.25,0.98,0.0865731
63,0.98,0.102978
63.75,0.98,0.121882
64.5,0.98,0.14356
65.25,0.98,0.168307
66,0.98,0.19643
66.75,0.98,0.228253
67.5,0.98,0.26411
68.25,0.98,0.304352
69,0.98,0.349336
69.75,0.98,0.399433
70.5,0.98,0.455019
71.25,0.98,0.516476
72,0.98,0.584192
72.75,0.98,0.658556
73.5,0.98,0.739958
74.25,0.98,0.828786
75,0.98,0.925424
75.75,0.98,1.03025
76.5,0.98,1.14364
77.25,0.98,1.26596
78,0.98,1.39755
78.75,0.98,1.53876
79.5,0.98,1.6899
80.25,0.98,1.8513
81,0.98,2.02323
81.75,0.98,2.20598
82.5,0.98,2.39979
83.25,0.98,2.6049
84,0.98,2.82152
84.75,0.98,3.04984
85.5,0.98,3.29002
86.25,0.98,3.54221
87,0.98,3.80652
87.75,0.98,4.08306
88.5,0.98,4.37189
89.25,0.98,4.67307
90,0.98,4.98662
90.75,0.98,5.31255
91.5,0.98,5.65084
92.25,0.98,6.00146
93,0.98,6.36433
93.75,0.98,6.73939
94.5,0.98,7.12654
95.25,0.98,7.52566
96,0.98,7.93662
96.75,0.98,8.35927
97.5,0.98,8.79345
98.25,0.98,9.23897
99,0.98,9.69566
99.75,0.98,10.1633
100.5,0.98,10.6417
101.25,0.98,11.1306
102,0.98,11.6298
102.75,0.98,12.1391
103.5,0.98,12.6581
104.25,0.98,13.1868
105,0.98,13.7247
105.75,0.98,14.2717
106.5,0.98,14.8275
107.25,0.98,15.3918
108,0.98,15.9644
108.75,0.98,16.545
109.5,0.98,17.1333
110.25,0.98,17.7291
111,0.98,18.3321
111.75,0.98,18.9421
112.5,0.98,19.5588
113.25,0.98,20.1819
114,0.98,20.8113
114.75,0.98,21.4466
115.5,0.98,22.0876
116.25,0.98,22.7342
117,0.98,23.386
117.75,0.98,24.0428
118.5,0.98,24.7045
119.25,0.98,25.3707
120,0.98,26.0414
120.75,0.98,26.7163
121.5,0.98,27.3951
122.25,0.98,28.0778
123,0.98,28.7641
123.75,0.98,29.4539
124.5,0.98,30.1469
125.25,0.98,30.8431
126,0.98,31.5422
126.75,0.98,32.2442
127.5,0.98,32.9488
128.25,0.98,33.6559
129,0.98,34.3653
129.75,0.98,35.077
130.5,0.98,35.7909
131.25,0.98,36.5067
132,0.98,37.2244
132.75,0.98,37.9439
133.5,0.98,38.665
134.25,0.98,39.3877
135,0.98,40.1118
135.75,0.98,40.8373
136.5,0.98,41.5641
137.25,0.98,42.2921
138,0.98,43.0212
138.75,0.98,43.7513
139.5,0.98,44.4823
140.25,0.98,45.2143
141,0.98,45.947
141.75,0.98,46.6805
142.5,0.98,47.4147
143.25,0.98,48.1495
144,0.98,48.8848
144.75,0.98,49.6207
145.5,0.98,50.357
146.25,0.98,51.0937
147,0.98,51.8308
147.75,0.98,52.5682
148.5,0.98,53.3059
149.25,0.98,54.0438
150,0.98,54.7819
0,0.975,0
0.75,0.975,1.40942e-49
1.5,0.975,2.06379e-46
2.25,0.975,1.02533e-43
3,0.975,2.54737e-41
3.75,0.975,3.77204e-39
4.5,0.975,3.68782e-37
5.25,0.975,2.54722e-35
6,0.975,1.30459e-33
6.75,0.975,5.13855e-32
7.5,0.975,1.60176e-30
8.25,0.975,4.04397e-29
9,0.975,8.42987e-28
9.75,0.975,1.47471e-26
10.5,0.975,2.19556e-25
11.25,0.975,2.81617e-24
12,0.975,3.14589e-23
12.75,0.975,3.09026e-22
13.5,0.975,2.69272e-21
14.25,0.975,2.0978e-20
15,0.975,1.47178e-19
15.75,0.975,9.36054e-19
16.5,0.975,5.42976e-18
17.25,0.975,2.88887e-17
18,0.975,1.41713e-16
18.75,0.975,6.44069e-16
19.5,0.975,2.72428e-15
20.25,0.975,1.07695e-14
21,0.975,3.99451e-14
21.75,0.975,1.39523e-13
22.5,0.975,4.60497e-13
23.25,0.975,1.44077e-12
24,0.975,4.2859e-12
24.75,0.975,1.21559e-11
25.5,0.975,3.29582e-11
26.25,0.975,8.56313e-11
27,0.975,2.13693e-10
27.75,0.975,5.13299e-10
28.5,0.975,1.18917e-09
29.25,0.975,2.66213e-09
30,0.975,5.76892e-09
30.75,0.975,1.21216e-08
31.5,0.975,2.47344e-08
32.25,0.975,4.90854e-08
33,0.975,9.48658e-08
33.75,0.975,1.78786e-07
34.5,0.975,3.28965e-07
35.25,0.975,5.91637e-07
36,0.975,1.04116e-06
36.75,0.975,1.79461e-06
37.5,0.975,3.03274e-06
38.25,0.975,5.02921e-06
39,0.975,8.1909e-06
39.75,0.975,1.31123e-05
40.5,0.975,2.06478e-05
41.25,0.975,3.20053e-05
42,0.975,4.88676e-05
42.75,0.975,7.35441e-05
43.5,0.975,0.000109161
